symbol,timeframe,filter_name,tp_rate,sl_rate,lookahead_steps,folds,train_rows,test_rows,step_rows,features,fee_rate,base_trade_count,filtered_trade_count,blocked_trade_count,base_total_pnl,filtered_total_pnl,delta_pnl,base_avg_pnl,filtered_avg_pnl,avg_base_win_rate,avg_filtered_win_rate,base_profit_factor,filtered_profit_factor,delta_positive_folds,delta_positive_fold_rate,filtered_profitable_folds,filtered_profitable_fold_rate
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.012,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,242,51,191,118.12330958168593,138.68091422822658,20.557604646540653,0.4881128495110989,2.719233612318168,42.81114718614719,33.03030303030303,1.0974903462632521,1.4392919058895663,25,56.81818181818182,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.015,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,238,51,187,95.51032729349959,137.9113444263462,42.40101713284662,0.40130389619117474,2.7041440083597297,43.06818181818182,33.03030303030303,1.0744555727139746,1.3984314787111003,24,54.54545454545454,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.015,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,238,51,187,72.79434076280324,130.6474767914458,57.85313602864255,0.3058585746336271,2.5617152312048197,43.06818181818182,33.03030303030303,1.0567472071912754,1.3774458699131182,24,54.54545454545454,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.015,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,261,51,210,105.15212388023349,121.61334174663841,16.461217866404922,0.4028817006905498,2.384575328365459,45.813492063492056,34.92424242424242,1.0904954583629547,1.386573116646258,23,52.27272727272727,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.015,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,223,51,172,90.25296348031634,115.70617226860793,25.45320878829159,0.40472180932877283,2.2687484758550576,46.179653679653676,38.03030303030303,1.0690851010166555,1.3267041607517878,18,40.909090909090914,17,38.63636363636363
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.015,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,261,51,210,65.89302697339565,113.853587601306,47.960560627910354,0.2524637048789105,2.2324232863001177,46.09758297258297,35.68181818181818,1.0567108060892738,1.3619613967329331,23,52.27272727272727,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.015,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,238,51,187,97.27742112087844,108.2371907952687,10.959769674390259,0.4087286601717582,2.122297858730759,43.82575757575757,33.03030303030303,1.0771649178391354,1.312701642924858,22,50.0,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.015,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,261,51,210,77.01315154739882,108.0902901674599,31.077138620061078,0.2950695461586162,2.1194174542639197,45.813492063492056,34.92424242424242,1.0662786465178344,1.3435873050531346,22,50.0,16,36.36363636363637
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.01,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,232,51,181,-41.732363706207025,72.51746086090066,114.24982456710768,-0.1798808780439958,1.4219109972725619,39.293831168831176,27.15909090909091,0.9671873383735212,1.216244268490906,23,52.27272727272727,13,29.545454545454547
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.035,0.01,96,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,232,51,181,-44.12254507703926,67.76064599358983,111.8831910706291,-0.19018338395275544,1.3286401175213693,39.293831168831176,27.15909090909091,0.9653080244410737,1.2020596302104598,23,52.27272727272727,14,31.818181818181817
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.01,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,247,51,196,10.37682018824762,63.709956272370846,53.333136084123225,0.0420114177661847,1.2492148288700167,40.03787878787879,25.64393939393939,1.0085958749381227,1.205984449633368,25,56.81818181818182,12,27.27272727272727
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.03,0.01,72,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,247,51,196,4.310487380430345,60.18944123090057,55.878953850470225,0.01745136591267346,1.180185122174521,39.38852813852814,24.886363636363637,1.0035102318883649,1.188273840718025,25,56.81818181818182,12,27.27272727272727
SOLUSDT,5m,rolling_std_24 > q75 AND atr_14 > q75,0.025,0.01,48,44,5000,1000,1000,"rolling_std_24,atr_14,volume_zscore_24,rsi_14",0.0002,265,51,214,-5.081963086334554,58.92886830734551,64.01083139368006,-0.019177219193715296,1.1554680060263827,42.26641414141414,27.916666666666664,0.9954530130484597,1.2087544387158347,23,52.27272727272727,12,27.27272727272727
