symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,base_final_equity,base_total_return,base_realized_pnl,base_buy_count,base_sell_count,base_win_rate,base_take_profit_count,base_stop_loss_count,base_sma_exit_count,base_blocked_buy_count,ml_final_equity,ml_total_return,ml_realized_pnl,ml_buy_count,ml_sell_count,ml_win_rate,ml_take_profit_count,ml_stop_loss_count,ml_sma_exit_count,ml_blocked_buy_count,delta_pnl,delta_return
BTCUSDT,5m,LogisticRegression,0.6,6,3000,500,2026-01-25 17:55:00+00:00,2026-03-02 00:15:00+00:00,2026-03-02 00:20:00+00:00,2026-03-06 17:10:00+00:00,0.588,0.4645669291338583,0.6276595744680851,0.5339366515837104,10033.240562492789,0.3324056249278874,35.64056249279102,4,4,75.0,2,0,2,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,4,-35.64056249279102,-0.3324056249278874
BTCUSDT,5m,LogisticRegression,0.65,6,3000,500,2026-01-25 17:55:00+00:00,2026-03-02 00:15:00+00:00,2026-03-02 00:20:00+00:00,2026-03-06 17:10:00+00:00,0.588,0.4645669291338583,0.6276595744680851,0.5339366515837104,10033.240562492789,0.3324056249278874,35.64056249279102,4,4,75.0,2,0,2,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,4,-35.64056249279102,-0.3324056249278874
BTCUSDT,5m,LogisticRegression,0.5,7,3000,500,2026-02-02 01:25:00+00:00,2026-03-06 17:10:00+00:00,2026-03-06 17:15:00+00:00,2026-03-16 14:20:00+00:00,0.454,0.3923076923076923,0.4700460829493088,0.4276729559748428,9998.240410870098,-0.017595891299024516,1.2404108700969454,5,5,40.0,1,3,1,0,9998.240410870098,-0.017595891299024516,1.2404108700969454,5,5,40.0,1,3,1,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.55,7,3000,500,2026-02-02 01:25:00+00:00,2026-03-06 17:10:00+00:00,2026-03-06 17:15:00+00:00,2026-03-16 14:20:00+00:00,0.454,0.3923076923076923,0.4700460829493088,0.4276729559748428,9998.240410870098,-0.017595891299024516,1.2404108700969454,5,5,40.0,1,3,1,0,9998.240410870098,-0.017595891299024516,1.2404108700969454,5,5,40.0,1,3,1,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.6,7,3000,500,2026-02-02 01:25:00+00:00,2026-03-06 17:10:00+00:00,2026-03-06 17:15:00+00:00,2026-03-16 14:20:00+00:00,0.454,0.3923076923076923,0.4700460829493088,0.4276729559748428,9998.240410870098,-0.017595891299024516,1.2404108700969454,5,5,40.0,1,3,1,0,9994.325807948218,-0.05674192051781574,-4.47419205178016,2,2,50.0,0,1,1,3,-5.7146029218771055,-0.03914602921879123
BTCUSDT,5m,LogisticRegression,0.65,7,3000,500,2026-02-02 01:25:00+00:00,2026-03-06 17:10:00+00:00,2026-03-06 17:15:00+00:00,2026-03-16 14:20:00+00:00,0.454,0.3923076923076923,0.4700460829493088,0.4276729559748428,9998.240410870098,-0.017595891299024516,1.2404108700969454,5,5,40.0,1,3,1,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,5,-1.2404108700969454,0.017595891299024516
BTCUSDT,5m,LogisticRegression,0.5,8,3000,500,2026-02-05 15:30:00+00:00,2026-03-16 14:20:00+00:00,2026-03-16 14:25:00+00:00,2026-03-26 15:05:00+00:00,0.656,0.41007194244604317,0.3877551020408163,0.3986013986013986,9979.772225679306,-0.20227774320694153,-17.227774320693914,5,5,0.0,0,2,3,0,9981.933436319567,-0.1806656368043332,-15.666563680432407,4,4,0.0,0,2,2,1,1.561210640261507,0.021612106402608328
BTCUSDT,5m,LogisticRegression,0.55,8,3000,500,2026-02-05 15:30:00+00:00,2026-03-16 14:20:00+00:00,2026-03-16 14:25:00+00:00,2026-03-26 15:05:00+00:00,0.656,0.41007194244604317,0.3877551020408163,0.3986013986013986,9979.772225679306,-0.20227774320694153,-17.227774320693914,5,5,0.0,0,2,3,0,9981.933436319567,-0.1806656368043332,-15.666563680432407,4,4,0.0,0,2,2,1,1.561210640261507,0.021612106402608328
BTCUSDT,5m,LogisticRegression,0.6,8,3000,500,2026-02-05 15:30:00+00:00,2026-03-16 14:20:00+00:00,2026-03-16 14:25:00+00:00,2026-03-26 15:05:00+00:00,0.656,0.41007194244604317,0.3877551020408163,0.3986013986013986,9979.772225679306,-0.20227774320694153,-17.227774320693914,5,5,0.0,0,2,3,0,9994.560982173227,-0.054390178267731244,-4.839017826772621,1,1,0.0,0,1,0,4,12.388756493921292,0.1478875649392103
BTCUSDT,5m,LogisticRegression,0.65,8,3000,500,2026-02-05 15:30:00+00:00,2026-03-16 14:20:00+00:00,2026-03-16 14:25:00+00:00,2026-03-26 15:05:00+00:00,0.656,0.41007194244604317,0.3877551020408163,0.3986013986013986,9979.772225679306,-0.20227774320694153,-17.227774320693914,5,5,0.0,0,2,3,0,9994.560982173227,-0.054390178267731244,-4.839017826772621,1,1,0.0,0,1,0,4,12.388756493921292,0.1478875649392103
BTCUSDT,5m,LogisticRegression,0.5,9,3000,500,2026-02-08 16:20:00+00:00,2026-03-26 15:05:00+00:00,2026-03-26 16:55:00+00:00,2026-04-09 14:45:00+00:00,0.61,0.569811320754717,0.6508620689655172,0.607645875251509,9982.56860918608,-0.17431390813919279,-13.831390813918436,6,6,16.666666666666664,0,2,4,0,9982.56860918608,-0.17431390813919279,-13.831390813918436,6,6,16.666666666666664,0,2,4,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.55,9,3000,500,2026-02-08 16:20:00+00:00,2026-03-26 15:05:00+00:00,2026-03-26 16:55:00+00:00,2026-04-09 14:45:00+00:00,0.61,0.569811320754717,0.6508620689655172,0.607645875251509,9982.56860918608,-0.17431390813919279,-13.831390813918436,6,6,16.666666666666664,0,2,4,0,9984.614876229805,-0.15385123770194695,-12.385123770193434,5,5,20.0,0,2,3,1,1.4462670437250011,0.02046267043724584
BTCUSDT,5m,LogisticRegression,0.6,9,3000,500,2026-02-08 16:20:00+00:00,2026-03-26 15:05:00+00:00,2026-03-26 16:55:00+00:00,2026-04-09 14:45:00+00:00,0.61,0.569811320754717,0.6508620689655172,0.607645875251509,9982.56860918608,-0.17431390813919279,-13.831390813918436,6,6,16.666666666666664,0,2,4,0,9996.651822098416,-0.033481779015837675,-2.148177901583045,2,2,50.0,0,1,1,4,11.68321291233539,0.1408321291233551
BTCUSDT,5m,LogisticRegression,0.65,9,3000,500,2026-02-08 16:20:00+00:00,2026-03-26 15:05:00+00:00,2026-03-26 16:55:00+00:00,2026-04-09 14:45:00+00:00,0.61,0.569811320754717,0.6508620689655172,0.607645875251509,9982.56860918608,-0.17431390813919279,-13.831390813918436,6,6,16.666666666666664,0,2,4,0,10012.618426053321,0.12618426053320947,13.218426053320742,1,1,100.0,0,0,1,5,27.04981686723918,0.30049816867240225
BTCUSDT,5m,LogisticRegression,0.5,10,3000,500,2026-02-14 15:40:00+00:00,2026-04-09 14:45:00+00:00,2026-04-09 14:50:00+00:00,2026-04-27 14:40:00+00:00,0.584,0.5316455696202531,0.7368421052631579,0.6176470588235294,9959.31480646215,-0.40685193537850867,-36.485193537849966,7,7,0.0,0,5,2,0,9967.204124903787,-0.3279587509621342,-29.195875096213307,6,6,0.0,0,4,2,1,7.289318441636659,0.07889318441637444
BTCUSDT,5m,LogisticRegression,0.55,10,3000,500,2026-02-14 15:40:00+00:00,2026-04-09 14:45:00+00:00,2026-04-09 14:50:00+00:00,2026-04-27 14:40:00+00:00,0.584,0.5316455696202531,0.7368421052631579,0.6176470588235294,9959.31480646215,-0.40685193537850867,-36.485193537849966,7,7,0.0,0,5,2,0,9974.74970186866,-0.2525029813133915,-22.85029813133871,4,4,0.0,0,3,1,3,13.634895406511255,0.15434895406511717
BTCUSDT,5m,LogisticRegression,0.6,10,3000,500,2026-02-14 15:40:00+00:00,2026-04-09 14:45:00+00:00,2026-04-09 14:50:00+00:00,2026-04-27 14:40:00+00:00,0.584,0.5316455696202531,0.7368421052631579,0.6176470588235294,9959.31480646215,-0.40685193537850867,-36.485193537849966,7,7,0.0,0,5,2,0,9986.70620075591,-0.13293799244089313,-11.493799244088109,3,3,0.0,0,2,1,4,24.991394293761857,0.2739139429376155
BTCUSDT,5m,LogisticRegression,0.65,10,3000,500,2026-02-14 15:40:00+00:00,2026-04-09 14:45:00+00:00,2026-04-09 14:50:00+00:00,2026-04-27 14:40:00+00:00,0.584,0.5316455696202531,0.7368421052631579,0.6176470588235294,9959.31480646215,-0.40685193537850867,-36.485193537849966,7,7,0.0,0,5,2,0,9994.02996230539,-0.05970037694609345,-5.370037694609307,1,1,0.0,0,1,0,6,31.115155843240657,0.3471515584324152
