symbol,timeframe,strategy_name,fold,train_start,train_end,test_start,test_end,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,31,2026-03-08 23:15:00+00:00,2026-03-26 07:50:00+00:00,2026-03-26 07:55:00+00:00,2026-03-29 19:10:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,5,4,-18.156011966479127,-4.539002991619782,25.0,2.1306730126581215,20.28668497913725,0.10502815096943131,9981.84398803352,-0.18156011966479127,0,1,3
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,31,2026-03-08 23:15:00+00:00,2026-03-26 07:50:00+00:00,2026-03-26 07:55:00+00:00,2026-03-29 19:10:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,8,7,-50.99479629515599,-7.284970899307999,0.0,0.0,50.99479629515599,0.0,9949.005203704843,-0.5099479629515736,0,3,4
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,31,2026-03-08 23:15:00+00:00,2026-03-26 07:50:00+00:00,2026-03-26 07:55:00+00:00,2026-03-29 19:10:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,6,5,-21.27738645806562,-4.255477291613124,20.0,4.3128545019342255,25.590240959999846,0.16853512667878573,9978.722613541931,-0.21277386458068578,0,4,1
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,32,2026-03-12 10:35:00+00:00,2026-03-29 19:10:00+00:00,2026-03-29 19:15:00+00:00,2026-04-02 06:30:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,9,6,43.86280289267688,7.31046714877948,83.33333333333334,59.256763492676896,15.393960600000014,3.84935138087055,10043.862802892678,0.43862802892677794,2,1,3
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,32,2026-03-12 10:35:00+00:00,2026-03-29 19:10:00+00:00,2026-03-29 19:15:00+00:00,2026-04-02 06:30:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,9,6,43.86280289267688,7.31046714877948,83.33333333333334,59.256763492676896,15.393960600000014,3.84935138087055,10043.862802892678,0.43862802892677794,2,1,3
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,32,2026-03-12 10:35:00+00:00,2026-03-29 19:10:00+00:00,2026-03-29 19:15:00+00:00,2026-04-02 06:30:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,4,4,2.368559108772274,0.5921397771930685,75.0,17.762519708772402,15.393960600000128,1.1538628797563801,10002.368559108772,0.02368559108772388,0,1,3
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,32,2026-03-12 10:35:00+00:00,2026-03-29 19:10:00+00:00,2026-03-29 19:15:00+00:00,2026-04-02 06:30:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,9,6,45.583160019904426,7.597193336650737,66.66666666666666,70.37348097990457,24.790320960000145,2.8387482797602375,10045.583160019904,0.45583160019903524,2,2,2
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,32,2026-03-12 10:35:00+00:00,2026-03-29 19:10:00+00:00,2026-03-29 19:15:00+00:00,2026-04-02 06:30:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,10,9,-50.25662775674493,-5.584069750749437,11.11111111111111,0.9238541632554416,51.180481920000375,0.01805090785779445,9949.74337224325,-0.5025662775674937,0,8,1
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,33,2026-03-15 21:55:00+00:00,2026-04-02 06:30:00+00:00,2026-04-02 06:35:00+00:00,2026-04-05 17:50:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,9,5,-2.3495978613898387,-0.46991957227796777,60.0,14.439444729650518,16.789042591040356,0.8600517064240623,9997.65040213861,-0.02349597861390066,0,1,4
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,33,2026-03-15 21:55:00+00:00,2026-04-02 06:30:00+00:00,2026-04-02 06:35:00+00:00,2026-04-05 17:50:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,10,5,-2.3495978613898387,-0.46991957227796777,60.0,14.439444729650518,16.789042591040356,0.8600517064240623,9997.65040213861,-0.02349597861390066,0,1,4
