symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,train_short_sma,train_long_sma,train_rsi_buy_threshold,train_use_macd_filter,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_signal_count,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_take_profit_count,train_stop_loss_count,train_time_exit_count,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,24,2026-02-12 15:55:00+00:00,2026-03-02 00:30:00+00:00,2026-03-02 00:35:00+00:00,2026-03-05 11:50:00+00:00,total_pnl,8,30,65.0,True,0.03,0.015,72,2.0,36,29,132.91973734229873,4.583439218699956,55.172413793103445,287.5175979207438,154.59786057844508,1.859777340028929,10132.919737342298,1.3291973734229758,4,8,17,8,30,65.0,True,0.03,0.015,72,2.0,7,6,31.117137775982314,5.186189629330386,50.0,69.2232472603772,38.10610948439489,1.8165918325701897,10031.117137775982,0.31117137775981973,2,2,2
SOLUSDT,5m,25,2026-02-16 03:15:00+00:00,2026-03-05 11:50:00+00:00,2026-03-05 11:55:00+00:00,2026-03-08 23:10:00+00:00,total_pnl,8,30,55.0,True,0.03,0.015,48,2.0,67,51,165.17588026933106,3.2387427503790405,50.98039215686274,423.4879649336805,258.3120846643494,1.6394431003255636,10165.175880269328,1.6517588026932755,8,13,30,8,30,55.0,True,0.03,0.015,48,2.0,10,10,-42.64473831797204,-4.264473831797204,30.0,9.400397222558013,52.045135540530055,0.180620093019788,9957.355261682025,-0.4264473831797477,0,2,8
SOLUSDT,5m,26,2026-02-19 14:35:00+00:00,2026-03-08 23:10:00+00:00,2026-03-08 23:15:00+00:00,2026-03-12 10:30:00+00:00,total_pnl,8,30,50.0,True,0.03,0.015,48,2.0,74,53,176.3865361410476,3.328047851717879,52.83018867924528,394.2696764061275,217.88314026507987,1.8095465116137628,10176.386536141046,1.7638653614104622,8,10,35,8,30,50.0,True,0.03,0.015,48,2.0,19,13,-47.56867019481058,-3.6591284765238905,38.46153846153847,32.54156105945208,80.11023125426266,0.406209800545552,9952.431329805191,-0.4756867019480887,0,4,9
SOLUSDT,5m,27,2026-02-23 01:55:00+00:00,2026-03-12 10:30:00+00:00,2026-03-12 10:35:00+00:00,2026-03-15 21:50:00+00:00,total_pnl,10,30,65.0,True,0.03,0.01,72,3.0,41,32,113.61447862415912,3.5504524570049725,43.75,288.5132412300376,174.89876260587846,1.6496013861469163,10113.614478624153,1.1361447862415297,7,14,11,10,30,65.0,True,0.03,0.01,72,3.0,7,7,-25.8812952750352,-3.6973278964336,28.57142857142857,13.721772043007604,39.603067318042804,0.34648255734363503,9974.118704724964,-0.2588129527503588,0,3,4
SOLUSDT,5m,28,2026-02-26 13:15:00+00:00,2026-03-15 21:50:00+00:00,2026-03-15 21:55:00+00:00,2026-03-19 09:10:00+00:00,total_pnl,8,30,55.0,True,0.03,0.015,72,2.0,63,41,188.17524308327802,4.589640075201903,56.09756097560976,384.23124835932026,196.05600527604224,1.959803515420666,10188.175243083273,1.8817524308327302,10,10,21,8,30,55.0,True,0.03,0.015,72,2.0,14,9,-55.8487555024019,-6.2054172780446555,22.22222222222222,6.5101194747752515,62.35887497717715,0.1043976415090539,9944.1512444976,-0.5584875550240032,0,2,7
SOLUSDT,5m,29,2026-03-02 00:35:00+00:00,2026-03-19 09:10:00+00:00,2026-03-19 09:15:00+00:00,2026-03-22 20:30:00+00:00,total_pnl,12,50,50.0,True,0.02,0.015,72,1.3333333333333335,62,44,159.32502819527394,3.621023368074408,54.54545454545454,360.1611435508289,200.83611535555497,1.7933086532430143,10159.325028195279,1.593250281952787,17,8,19,12,50,50.0,True,0.02,0.015,72,1.3333333333333335,13,11,-70.28731317033066,-6.389755742757333,18.181818181818183,17.46950825269471,87.75682142302537,0.19906724023747643,9929.71268682967,-0.7028731317033089,0,3,8
SOLUSDT,5m,30,2026-03-05 11:55:00+00:00,2026-03-22 20:30:00+00:00,2026-03-22 20:35:00+00:00,2026-03-26 07:50:00+00:00,total_pnl,12,30,50.0,True,0.015,0.015,96,1.0,81,41,75.28635075461557,1.836252457429648,53.65853658536586,241.6270729886802,166.34072223406463,1.4526032455761324,10075.28635075462,0.752863507546208,16,7,18,12,30,50.0,True,0.015,0.015,96,1.0,16,10,-32.386555906540366,-3.2386555906540364,40.0,55.12946159999967,87.51601750654004,0.6299356754422683,9967.613444093462,-0.3238655590653798,4,4,2
SOLUSDT,5m,31,2026-03-08 23:15:00+00:00,2026-03-26 07:50:00+00:00,2026-03-26 07:55:00+00:00,2026-03-29 19:10:00+00:00,total_pnl,12,50,50.0,True,0.01,0.015,96,0.6666666666666667,65,47,116.66133423974361,2.4821560476541196,70.2127659574468,277.46100727681596,160.79967303707235,1.72550728516001,10116.661334239761,1.1666133423976135,31,8,8,12,50,50.0,True,0.01,0.015,96,0.6666666666666667,12,10,-60.79969120658495,-6.079969120658495,20.0,17.576727199999937,78.37641840658489,0.22426040328634367,9939.200308793417,-0.607996912065828,2,4,4
SOLUSDT,5m,32,2026-03-12 10:35:00+00:00,2026-03-29 19:10:00+00:00,2026-03-29 19:15:00+00:00,2026-04-02 06:30:00+00:00,total_pnl,8,30,65.0,True,0.03,0.015,48,2.0,32,27,28.799633246399594,1.066653083199985,51.85185185185185,127.0281658482312,98.2285326018316,1.293190099491139,10028.799633246399,0.28799633246399026,1,3,23,8,30,65.0,True,0.03,0.015,48,2.0,4,4,-15.4422887681568,-3.8605721920392,50.0,7.366603949799924,22.808892717956724,0.322970695723446,9984.557711231842,-0.15442288768157597,0,1,3
SOLUSDT,5m,33,2026-03-15 21:55:00+00:00,2026-04-02 06:30:00+00:00,2026-04-02 06:35:00+00:00,2026-04-05 17:50:00+00:00,total_pnl,10,50,50.0,True,0.01,0.008,48,1.25,63,55,65.11457592341526,1.183901380425732,54.54545454545454,235.26621385414228,170.15163793072702,1.3826855663295174,10065.114575923431,0.6511457592343141,26,17,12,10,50,50.0,True,0.01,0.008,48,1.25,14,11,-9.019597434330763,-0.8199634031209784,27.27272727272727,25.350586815672614,34.370184250003376,0.7375749466827524,9990.98040256567,-0.09019597434329625,2,2,7
