symbol,timeframe,tp_rate,sl_rate,lookahead_steps,reward_risk,entry_count,tp_count,sl_count,time_exit_count,tp_rate_pct,sl_rate_pct,time_exit_rate_pct,avg_gross_return,avg_net_return,trade_count,total_pnl,avg_pnl,win_rate,profit_factor,final_equity,total_return,sim_tp_count,sim_sl_count,sim_time_exit_count
BTCUSDT,5m,0.004,0.006,24,0.6666666666666666,51571,20065,12366,19140,38.90752554730372,23.97859261988327,37.113881832813014,-5.59618273769795e-05,-0.0012559618273769793,4145,-4924.921444380798,-1.188159576448926,51.43546441495778,0.5341999094344136,5075.07855561933,-49.24921444380671,1967,1208,970
BTCUSDT,5m,0.006,0.004,24,1.5,51571,11651,20939,18981,22.5921545054391,40.60227647321169,36.80556902134921,-4.0161302543182026e-05,-0.001240161302543182,4164,-4930.285075590163,-1.184026194906379,38.280499519692604,0.5636352889762447,5069.714924410023,-49.302850755899776,1206,1981,977
BTCUSDT,5m,0.008,0.003,24,2.6666666666666665,51571,7005,26801,17765,13.58321537298094,51.969129937367896,34.44765468965116,-1.1016056428702742e-05,-0.0012110160564287027,4321,-4964.536505136881,-1.1489323085250824,30.68734089331173,0.5610702913251789,5035.46349486291,-49.6453650513709,785,2546,990
BTCUSDT,5m,0.01,0.008,12,1.25,51571,3149,5180,43242,6.1061449264121315,10.044404801147932,83.84945027243994,1.0448894224162905e-05,-0.001189551105775837,4338,-5158.975069598831,-1.1892519754722986,35.06224066390041,0.51371921432343,4841.024930401198,-51.58975069598802,335,517,3486
BTCUSDT,5m,0.01,0.006,12,1.6666666666666667,51571,3057,8561,39953,5.927750092106029,16.60041496189719,77.47183494599678,1.1851831635967968e-05,-0.001188148168364032,4543,-5250.2104515966175,-1.155670361346383,34.316530926700416,0.5218568121807164,4749.7895484036135,-52.502104515963865,342,893,3308
BTCUSDT,5m,0.008,0.008,12,1.0,51571,5124,5120,41327,9.935816641135522,9.928060343991778,80.1361230148727,1.1056004572514463e-05,-0.0011889439954274855,4459,-5300.4139970621745,-1.1887001563270183,36.17403005158108,0.5145162191256282,4699.586002937947,-53.00413997062052,552,560,3347
BTCUSDT,5m,0.008,0.006,12,1.3333333333333333,51571,4985,8477,38109,9.666285315390432,16.437532721878576,73.89618196273099,1.1169101347139666e-05,-0.0011888308986528601,4675,-5466.944314898045,-1.1693998534541274,35.144385026737964,0.5188988618875084,4533.055685102351,-54.66944314897649,581,939,3155
BTCUSDT,5m,0.006,0.008,12,0.75,51571,8392,4972,38207,16.272711407574025,9.641077349673266,74.08621124275271,-5.970717859993675e-07,-0.0012005970717859993,4659,-5701.137725599015,-1.2236827056447768,37.7763468555484,0.4910949337348027,4298.862274401044,-57.01137725598956,913,574,3172
BTCUSDT,5m,0.006,0.003,24,2.0,51571,10433,26017,15121,20.230362025169185,50.44889569719416,29.320742277636658,-2.9581545061040414e-05,-0.0012295815450610403,4864,-5823.377630947505,-1.1972404668888785,33.26480263157895,0.5282721550826889,4176.622369052198,-58.23377630947802,1239,2790,835
BTCUSDT,5m,0.006,0.006,12,1.0,51571,8175,8257,35139,15.851932287525935,16.01093637897268,68.13713133350139,-2.1616211160494694e-06,-0.0012021616211160494,4938,-5907.536597778894,-1.1963419598580183,37.2620494127177,0.5008990620552851,4092.463402221413,-59.075365977785864,996,984,2958
BTCUSDT,5m,0.01,0.004,12,2.5,51571,2799,15220,33552,5.427468926334568,29.512710631944312,65.05982044172113,-5.905291590765296e-06,-0.0012059052915907652,5079,-6110.8836977590845,-1.203166705603285,31.836975782634376,0.49807946688794086,3889.1163022410224,-61.108836977589775,374,1776,2929
