symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,signal_count,trade_count,win_count,loss_count,win_rate,total_pnl,avg_pnl,final_equity,total_return,take_profit_count,stop_loss_count,time_exit_count,profit_factor
BTCUSDT,5m,RandomForest,0.3,3,3000,500,2025-11-21 13:15:00+00:00,2025-12-01 23:10:00+00:00,2025-12-01 23:15:00+00:00,2025-12-03 16:50:00+00:00,0.744,0.2564102564102564,0.4225352112676056,0.3191489361702128,302,38,18,20,47.368421052631575,18.82596056524767,0.49542001487493864,10018.825960565253,0.188259605652529,8,4,26,1.23358881204534
BTCUSDT,5m,RandomForest,0.05,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,477,41,14,27,34.146341463414636,-57.612082105952254,-1.4051727342915183,9942.387917894048,-0.5761208210595214,2,4,35,0.43452568361710414
BTCUSDT,5m,RandomForest,0.08,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,447,40,15,25,37.5,-51.53820119276202,-1.2884550298190505,9948.461798807239,-0.5153820119276133,2,4,34,0.46845802107544793
BTCUSDT,5m,RandomForest,0.1,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,424,40,17,23,42.5,-44.94337261425687,-1.1235843153564218,9955.056627385744,-0.4494337261425608,2,3,35,0.5213730158033936
BTCUSDT,5m,RandomForest,0.12,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,401,40,16,24,40.0,-30.51912684107333,-0.7629781710268333,9969.480873158931,-0.3051912684106901,3,4,33,0.6657563861844903
BTCUSDT,5m,RandomForest,0.15,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,372,39,17,22,43.58974358974359,-26.25093151487613,-0.673100808073747,9973.74906848513,-0.262509315148709,3,4,32,0.7025595517156548
BTCUSDT,5m,RandomForest,0.2,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,321,38,14,24,36.84210526315789,-48.40451764199531,-1.273803095841982,9951.59548235801,-0.48404517641989514,2,3,33,0.4919541479993389
BTCUSDT,5m,RandomForest,0.3,4,3000,500,2025-11-23 06:55:00+00:00,2025-12-03 16:50:00+00:00,2025-12-03 16:55:00+00:00,2025-12-05 10:30:00+00:00,0.812,0.10784313725490197,0.7857142857142857,0.1896551724137931,244,36,15,21,41.66666666666667,-30.830378739004686,-0.8563994094167968,9969.169621260999,-0.3083037873900139,2,4,30,0.6302167089838477
BTCUSDT,5m,RandomForest,0.05,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,437,39,10,29,25.64102564102564,-61.227292258074044,-1.5699305707198472,9938.77270774193,-0.6122729225807052,1,3,35,0.26713269012763735
BTCUSDT,5m,RandomForest,0.08,5,3000,500,2025-11-25 00:35:00+00:00,2025-12-05 10:30:00+00:00,2025-12-05 10:35:00+00:00,2025-12-07 04:10:00+00:00,0.902,0.05714285714285714,0.1111111111111111,0.07547169811320754,371,38,11,27,28.947368421052634,-53.541668366601584,-1.408991272805305,9946.458331633401,-0.5354166836659897,1,3,34,0.30558849021921125
