symbol,timeframe,feature,condition,tp_rate,sl_rate,lookahead_steps,condition_rate_pct,entry_count,tp_count,sl_count,time_exit_count,tp_rate_pct,sl_rate_pct,time_exit_rate_pct,avg_gross_return,avg_net_return,trade_count,total_pnl,avg_pnl,win_rate,profit_factor,final_equity,total_return,sim_tp_count,sim_sl_count,sim_time_exit_count
BTCUSDT,5m,macd_hist,macd_hist <= 0,0.01,0.008,24,49.877840688745835,25722,3029,5047,17646,11.775911670943163,19.62133582147578,68.60275250758106,-4.073971215348863e-05,-4.073971215348863e-05,2012,22.07286092123934,0.01097060681970146,50.44731610337973,1.0045414696488064,10022.072860921195,0.2207286092119466,291,450,1271
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 > 1,0.01,0.008,24,13.231986349181726,6824,984,1537,4303,14.419695193434936,22.523446658851114,63.056858147713946,-4.579390202045153e-05,-4.579390202045153e-05,1804,75.01783573361365,0.04158416614945324,49.94456762749446,1.0170862264411509,10075.017835733594,0.7501783573359353,267,403,1134
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 <= q25 (-0.667533),0.01,0.008,24,25.0,12893,1513,2357,9023,11.735050027146514,18.281237881020708,69.98371209183277,-4.877975615405756e-05,-4.877975615405756e-05,1789,-14.692367031497838,-0.0082126143272766,50.13974287311347,0.9965020605905075,9985.307632968488,-0.14692367031511822,248,371,1170
BTCUSDT,5m,sma_30_slope,"q50 < sma_30_slope <= q75 (9.01547e-07,0.000109965)",0.01,0.008,24,25.0,12893,1065,1627,10201,8.260296284805708,12.619250756224307,79.12045295896999,-5.604242117371106e-05,-5.604242117371106e-05,1410,81.40312889889117,0.057732715531128485,50.070921985815595,1.026907596167251,10081.403128898872,0.8140312889887172,180,245,985
BTCUSDT,5m,rolling_std_24,rolling_std_24 <= q25 (0.000725503),0.01,0.008,24,25.0,12892,326,812,11754,2.5286999689730068,6.298479677319267,91.17282035370773,-5.7978182624147805e-05,-5.7978182624147805e-05,723,-83.39890708301175,-0.11535118545368153,50.62240663900415,0.9184819036699206,9916.601092916988,-0.8339890708301209,20,53,650
BTCUSDT,5m,sma_30_slope,sma_30_slope > q75 (0.000109965),0.01,0.008,24,25.0,12893,2291,2895,7707,17.769332195765145,22.454044830528193,59.77662297370666,-5.8526363391385574e-05,-5.8526363391385574e-05,1166,13.595223601443195,0.011659711493519034,46.22641509433962,1.0044245889020496,10013.595223601435,0.13595223601434553,226,267,673
BTCUSDT,5m,sma_30_slope,sma_30_slope > 0,0.01,0.008,24,50.236562475762035,25908,3362,4539,18007,12.976686737687201,17.519685039370078,69.50362822294271,-5.9382427377768674e-05,-5.9382427377768674e-05,1778,14.705088316820024,0.008270578355916774,48.25646794150732,1.003495948417472,10014.705088316789,0.14705088316788534,273,358,1147
BTCUSDT,5m,sma_30_slope,"q25 < sma_30_slope <= q50 (-0.000113364,9.01547e-07)",0.01,0.008,24,25.0,12892,1036,1852,10004,8.035991312441825,14.365497983245422,77.59851070431274,-6.739293952003311e-05,-6.739293952003311e-05,1431,72.88989291767496,0.0509363332758036,49.82529699510832,1.0239746961557719,10072.889892917654,0.7288989291765392,178,258,995
BTCUSDT,5m,macd_hist,"q50 < macd_hist <= q75 (0.0820285,17.5755)",0.01,0.008,24,25.0,12893,1190,1804,9899,9.229814628092765,13.992088730318777,76.77809664158846,-7.037567682691971e-05,-7.037567682691971e-05,1723,180.13510139097593,0.10454736006440855,49.56471271038886,1.0479999767205792,10180.135101390923,1.8013510139092253,236,318,1169
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 < -1,0.01,0.008,24,6.697432715426976,3454,432,651,2371,12.507237984944991,18.84771279675738,68.64504921829763,-9.055687057971822e-05,-9.055687057971822e-05,968,101.33586655683825,0.1046858125587172,49.48347107438016,1.0485954351009485,10101.335866556843,1.0133586655684304,128,173,667
BTCUSDT,5m,macd_hist,"q25 < macd_hist <= q50 (-17.2593,0.0820285)",0.01,0.008,24,25.0,12892,1013,1927,9952,7.857586099906919,14.947254111076635,77.19515978901644,-0.00016149703467940307,-0.00016149703467940307,1717,8.977209539369369,0.005228427221531374,50.669772859638904,1.0023510867807914,10008.977209539335,0.08977209539334581,208,333,1176
BTCUSDT,5m,volume_zscore_24,volume_zscore_24 > 2,0.01,0.008,24,6.2766617544403935,3237,476,779,1982,14.704973741118318,24.065492740191534,61.22953351869015,-0.00016416982002993155,-0.00016416982002993155,1364,-138.89604748878435,-0.10182994683928472,49.34017595307918,0.958783320130598,9861.103952511192,-1.388960474888081,192,308,864
BTCUSDT,5m,rsi_14,rsi_14 > q75 (61.4036),0.01,0.008,24,25.0,12893,1734,2393,8766,13.449158458078026,18.56045916388738,67.9903823780346,-0.00020815776042964687,-0.00020815776042964687,1482,-65.24242253176317,-0.044023227079462324,47.233468286099864,0.9812342970936523,9934.757577468234,-0.6524242253176635,214,286,982
BTCUSDT,5m,rolling_std_24,"q25 < rolling_std_24 <= q50 (0.000725503,0.00106431)",0.01,0.008,24,25.0,12893,968,1860,10065,7.507950050414953,14.426432948111378,78.06561700147367,-0.00024355559496051917,-0.00024355559496051917,914,-196.69683704114993,-0.21520441689403713,49.45295404814004,0.8951378339656392,9803.303162958859,-1.9669683704114143,76,136,702
BTCUSDT,5m,rsi_14,65 <= rsi_14 < 100,0.01,0.008,24,18.3045063212596,9440,1282,1801,6357,13.580508474576272,19.078389830508474,67.34110169491525,-0.0002754950326516334,-0.0002754950326516334,1288,-165.36861438277333,-0.12839178135308488,45.962732919254655,0.9468593355887085,9834.631385617227,-1.6536861438277266,192,258,838
BTCUSDT,5m,atr_14,"q25 < atr_14 <= q50 (0.00109257,0.00161688)",0.01,0.008,24,25.0,12892,811,1845,10236,6.290722928948185,14.311200744647842,79.39807632640398,-0.0003850037903004324,-0.0003850037903004324,911,-241.15286576223127,-0.26471225659959524,48.40834248079034,0.8701288395222823,9758.847134237769,-2.411528657622312,63,130,718
